Município,Distrito,Nome,2024
Abrantes,Santarém,Elevação a cidade,sex. 14 junho
Águeda,Aveiro,Pentecostes (Festa de São Geraldo),seg. 20 maio
Aguiar da Beira,Guarda,Restauração do concelho,sáb. 10 fevereiro
Alandroal,Évora,Segunda-feira de Pascoela (Nossa Senhora da Boa Nova),seg. 8 abril
Albergaria-a-Velha,Aveiro,Segunda-feira da Senhora do Socorro,seg. 19 agosto
Albufeira,Faro,Foral de D. Manuel I,ter. 20 agosto
Alcácer do Sal,Setúbal,São João Baptista,seg. 24 junho
Alcanena,Santarém,Quinta-feira da Ascensão,qui. 9 maio
Alcobaça,Leiria,São Bernardo,ter. 20 agosto
Alcochete,Setúbal,São João Baptista,seg. 24 junho
Alcoutim,Faro,Festas de Alcoutim,sex. 13 setembro
Alenquer,Lisboa,Quinta-feira da Ascensão,qui. 9 maio
Alfândega da Fé,Bragança,São Pedro,sáb. 29 junho
Alijó,Vila Real,São Martinho,seg. 11 novembro
Aljezur,Faro,Banho Santo,qui. 29 agosto
Aljustrel,Beja,Santo António,qui. 13 junho
Almada,Setúbal,São João Baptista,seg. 24 junho
Almeida,Guarda,Batalha do Côa (1810),ter. 2 julho
Almeirim,Santarém,Quinta-feira da Ascensão,qui. 9 maio
Almodôvar,Beja,São João Baptista,seg. 24 junho
Alpiarça,Santarém,Criação do município,ter. 2 abril
Alter do Chão,Portalegre,Quinta-feira da Ascensão,qui. 9 maio
Alvaiázere,Leiria,Santo António,qui. 13 junho
Alvito,Beja,Quinta-feira da Ascensão,qui. 9 maio
Amadora,Lisboa,Criação do município,qua. 11 setembro
Amarante,Porto,Elevação a cidade,seg. 8 julho
Amares,Braga,Santo António,qui. 13 junho
Anadia,Aveiro,Quinta-feira da Ascensão,qui. 9 maio
Angra do Heroísmo,Açores,São João Baptista,seg. 24 junho
Ansião,Leiria,Quinta-feira da Ascensão,qui. 9 maio
Arcos de Valdevez,Viana do Castelo,São Bento,qui. 11 julho
Arganil,Coimbra,Nossa Senhora do Mont`Alto,sáb. 7 setembro
Armamar,Viseu,São João Baptista,seg. 24 junho
Arouca,Aveiro,Rainha Santa Mafalda,qui. 2 maio
Arraiolos,Évora,Quinta-feira da Ascensão,qui. 9 maio
Arronches,Portalegre,São João Baptista,seg. 24 junho
Arruda dos Vinhos,Lisboa,Quinta-feira da Ascensão,qui. 9 maio
Aveiro,Aveiro,Santa Joana Princesa,dom. 12 maio
Avis,Portalegre,Segunda-feira de Páscoa,seg. 1 abril
Azambuja,Lisboa,Quinta-feira da Ascensão,qui. 9 maio
Baião,Porto,São Bartolomeu,sáb. 24 agosto
Barcelos,Braga,Santa Cruz,sex. 3 maio
Barrancos,Beja,Festa de Nossa Senhora da Conceição,qua. 28 agosto
Barreiro,Setúbal,Elevação a cidade,sex. 28 junho
Batalha,Leiria,Batalha de Aljubarrota,qua. 14 agosto
Beja,Beja,Quinta-feira da Ascensão,qui. 9 maio
Belmonte,Castelo Branco,Primeira missa no Brasil,sex. 26 abril
Benavente,Santarém,Quinta-feira da Ascensão,qui. 9 maio
Bombarral,Leiria,São Pedro,sáb. 29 junho
Borba,Évora,Segunda-feira de Páscoa,seg. 1 abril
Boticas,Vila Real,Criação do município,qua. 6 novembro
Braga,Braga,São João Baptista,seg. 24 junho
Bragança,Bragança,Nossa Senhora das Graças,qui. 22 agosto
Cabeceiras de Basto,Braga,São Miguel Arcanjo,dom. 29 setembro
Cadaval,Lisboa,Restauração do município,sáb. 13 janeiro
Caldas da Rainha,Leiria,Fundação da localidade pela rainha D. Leonor,qua. 15 maio
Calheta,Madeira,Santa Catarina,seg. 25 novembro
Câmara de Lobos,Madeira,Criação do município,sex. 4 outubro
Caminha,Viana do Castelo,Segunda-feira de Páscoa,seg. 1 abril
Campo Maior,Portalegre,Segunda-feira de Páscoa,seg. 1 abril
Cantanhede,Coimbra,São Tiago,qui. 25 julho
Carrazeda de Ansiães,Bragança,Elevação a município,sáb. 31 agosto
Carregal do Sal,Viseu,Nossa Senhora das Febres,seg. 22 julho
Cartaxo,Santarém,Quinta-feira da Ascensão,qui. 9 maio
Cascais,Lisboa,Santo António,qui. 13 junho
Castanheira de Pera,Leiria,Fundação do município,qui. 4 julho
Castelo Branco,Castelo Branco,Nossa Senhora de Mércoles,ter. 2 abril
Castelo de Paiva,Aveiro,São João Baptista,seg. 24 junho
Castelo de Vide,Portalegre,Nossa Senhora da Luz,seg. 1 abril
Castro Daire,Viseu,São Pedro,sáb. 29 junho
Castro Marim,Faro,São João Baptista,seg. 24 junho
Castro Verde,Beja,São Pedro,sáb. 29 junho
Celorico da Beira,Guarda,Nascimento de Sacadura Cabral,qui. 23 maio
Celorico de Basto,Braga,São Tiago,qui. 25 julho
Chamusca,Santarém,Quinta-feira da Ascensão,qui. 9 maio
Chaves,Vila Real,1ª Incursão Monárquica (1912),seg. 8 julho
Cinfães,Viseu,São João Baptista,seg. 24 junho
Coimbra,Coimbra,Rainha Santa Isabel,qui. 4 julho
Condeixa-a-Nova,Coimbra,Santa Cristina,qua. 24 julho
Constância,Santarém,Nossa Senhora da Boa Viage,seg. 1 abril
Coruche,Santarém,Nossa Senhora do Castelo,sáb. 17 agosto
Covilhã,Castelo Branco,Elevação a cidade,dom. 20 outubro
Crato,Portalegre,São Gregóriom,seg. 1 abril
Cuba,Beja,Segunda-feira de Páscoa,seg. 1 abril
Elvas,Portalegre,Batalha das Linhas de Elvas,dom. 14 janeiro
Entroncamento,Santarém,Criação do município,dom. 24 novembro
Espinho,Aveiro,Elevação a cidade,dom. 16 junho
Esposende,Braga,Elevação à categoria de vila,seg. 19 agosto
Estarreja,Aveiro,Santo António,qui. 13 junho
Estremoz,Évora,Quinta-feira da Ascensão,qui. 9 maio
Évora,Évora,São Pedro,sáb. 29 junho
Fafe,Braga,Feiras Francas,qui. 16 maio
Faro,Faro,Elevação a cidade,sáb. 7 setembro
Felgueiras,Porto,São Pedro,sáb. 29 junho
Ferreira do Alentejo,Beja,Outorgação do foral manuelino,ter. 5 março
Ferreira do Zêzere,Santarém,Santo António,qui. 13 junho
Figueira da Foz,Coimbra,São João Baptista,seg. 24 junho
Figueira de Castelo Rodrigo,Guarda,Batalha de Salgadela (1664),dom. 7 julho
Figueiró dos Vinhos,Leiria,São João Baptista,seg. 24 junho
Fornos de Algodres,Guarda,São Miguel Arcanjo,dom. 29 setembro
Freixo de Espada à Cinta,Bragança,Segunda-feira de Páscoa,seg. 1 abril
Fronteira,Portalegre,Batalha dos Atoleiros,sáb. 6 abril
Funchal,Madeira,Elevação a cidade,qua. 21 agosto
Fundão,Castelo Branco,Santa Luzia,dom. 15 setembro
Gavião,Portalegre,Recebimento do foral manuelino,sáb. 23 novembro
Góis,Coimbra,Doação de Góis a Anaia Vestrares,ter. 13 agosto
Golegã,Santarém,Quinta-feira da Ascensão,qui. 9 maio
Gondomar,Porto,Nossa Senhora do Rosário,seg. 7 outubro
Gouveia,Guarda,Nosso Senhor do Calvário,seg. 12 agosto
Grândola,Setúbal,Criação do município através do foral,ter. 22 outubro
Guarda,Guarda,Foral de D. Sancho I,qua. 27 novembro
Guimarães,Braga,Batalha de São Mamede,seg. 24 junho
Horta,Açores,São João Baptista,seg. 24 junho
